DATASET,MODEL,TRIAL,TRAIN_ACC,TRAIN_PREC,TRAIN_REC,TRAIN_SPEC,TRAIN_F1,TRAIN_ROC,TEST_ACC,TEST_PREC,TEST_REC,TEST_SPEC,TEST_F1,TEST_ROC
SHROOMS,DT,1,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,DT,2,0.9994,1,0.99875,1,0.9993746090000001,0.999375,0.998399488,1,0.9967018470000001,1,0.9983482,0.998350923
SHROOMS,DT,3,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,DT,4,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,DT,5,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,DT,6,1.0,1,1.0,1,0.999578592,0.9996194820000001,1.0,1,1.0,1,0.999352751,0.999367089
SHROOMS,DT,7,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,DT,avg,0.999914286,1,0.999821429,1,0.9998504570000001,0.999856355,0.999771355,1,0.999528835,1,0.999671564,0.999674002
SHROOMS,LOGREG,1,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,LOGREG,2,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,LOGREG,3,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,LOGREG,4,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,LOGREG,5,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,LOGREG,6,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,LOGREG,7,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,LOGREG,avg,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,PERC,1,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,PERC,2,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,PERC,3,1.0,1,1.0,1,1.0,1.0,0.999679898,1,0.9993164729999999,1,0.99965812,0.999658237
SHROOMS,PERC,4,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,PERC,5,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,PERC,6,1.0,1,1.0,1,1.0,1.0,0.999359795,1,0.9987046629999999,1,0.9993519120000001,0.9993523320000001
SHROOMS,PERC,7,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,PERC,avg,1.0,1,1.0,1,1.0,1.0,0.999862813,1,0.999717305,1,0.9998585759999999,0.999858653
SHROOMS,KNN,1,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,KNN,2,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,KNN,3,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,KNN,4,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,KNN,5,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,KNN,6,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,KNN,7,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,KNN,avg,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,RF,1,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,RF,2,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,RF,3,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,RF,4,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,RF,5,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,RF,6,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,RF,7,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,RF,avg,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,SVM,1,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,SVM,2,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,SVM,3,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,SVM,4,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,SVM,5,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,SVM,6,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,SVM,7,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
SHROOMS,SVM,avg,1.0,1,1.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0
